epoch,step,test/reward,train/loss,train/reward,val/reward
495,3967,,,,-110.20800018310547
496,3975,,,,-110.2300033569336
497,3983,,,,-110.03199768066406
498,3991,,,,-110.01399993896484
499,3999,,-21.038772583007812,-110.16346740722656,
499,3999,,,,-110.15399932861328
500,4007,,,,-110.03900146484375
501,4015,,,,-110.51599884033203
502,4023,,,,-110.29399871826172
503,4031,,,,-110.37300109863281
504,4039,,,,-110.26699829101562
505,4047,,,,-110.0989990234375
506,4049,,-12.372295379638672,-111.41796875,
506,4055,,,,-110.13999938964844
507,4063,,,,-110.28700256347656
508,4071,,,,-110.06400299072266
509,4079,,,,-110.01799774169922
510,4087,,,,-110.22899627685547
511,4095,,,,-110.22699737548828
512,4099,,-8.247699737548828,-112.0078125,
512,4103,,,,-109.86100006103516
513,4111,,,,-110.66999816894531
514,4119,,,,-110.57499694824219
515,4127,,,,-110.9800033569336
516,4135,,,,-110.65499877929688
517,4143,,,,-110.00199890136719
518,4149,,0.03656816482543945,-111.34765625,
518,4151,,,,-109.99700164794922
519,4159,,,,-110.197998046875
520,4167,,,,-110.03500366210938
521,4175,,,,-110.05999755859375
522,4183,,,,-109.96399688720703
523,4191,,,,-110.23200225830078
524,4199,,8.460763931274414,-110.98558044433594,
524,4199,,,,-110.35900115966797
525,4207,,,,-110.23500061035156
526,4215,,,,-110.12300109863281
527,4223,,,,-110.21199798583984
528,4231,,,,-110.28399658203125
529,4239,,,,-110.55400085449219
530,4247,,,,-110.41100311279297
531,4249,,-38.937660217285156,-112.453125,
531,4255,,,,-110.28600311279297
532,4263,,,,-110.13300323486328
533,4271,,,,-110.1719970703125
534,4279,,,,-109.92500305175781
535,4287,,,,-110.0270004272461
536,4295,,,,-110.31999969482422
537,4299,,-26.915245056152344,-111.6015625,
537,4303,,,,-110.23699951171875
538,4311,,,,-110.4530029296875
539,4319,,,,-110.29900360107422
540,4327,,,,-110.47100067138672
541,4335,,,,-110.25499725341797
542,4343,,,,-110.51300048828125
543,4349,,-63.41316604614258,-111.40625,
543,4351,,,,-110.3479995727539
544,4359,,,,-110.19300079345703
545,4367,,,,-110.23899841308594
546,4375,,,,-110.29000091552734
547,4383,,,,-110.29499816894531
